,,,,,,,,,,
№,機能,内容,主体,要否,ユーザー操作,"登録店舗
対応","代行
可否",代行内容,契約,検閲
1,ユーザー情報管理（会員登録、ログイン機能）,個人ユーザー、飲食店舗の登録機能,システム管理者,要,ー,可,可,登録、初回掲載,初回,〇
2,飲食店検索・情報管理機能,飲食店の地域・ジャンル・キーワードなどにより検索する機能,店舗ユーザー,要,可,可,ー,,,
3,,店舗情報を管理変更する機能,店舗ユーザー,要,ー,可,可,情報変更、MAP、画像差替,定期,〇
4,メニュー管理機能,店舗が提供するフード・ドリンク等のメニュー内容を管理変更する機能,店舗ユーザー,要,ー,可,可,メニューの追加・変更、画像差替,定期,〇
5,画像掲載機能,店舗オーナーが店内の様子や提供商品の写真を掲載する機能,店舗ユーザー,要,ー,可,可,画像追加、アップロード,定期,〇
6,,個人ユーザーが口コミ投稿の際画像を掲載する機能,店舗ユーザー,要,可,ー,ー,,,〇
7,口コミ投稿・保管機能,ユーザーが口コミ、評価を投稿する機能,ユーザー,要,可,※投稿を受信する機能,ー,,,〇
8,,気に入った口コミを保存する機能,店舗ユーザー？,要,可,ー,ー,,,
9,予約管理機能,ユーザーと店舗間で予約があった場合、日付や人数などの情報を共有し管理する機能,店舗ユーザー,ー,ー,ー,ー,,,
10,メルマガ配信機能,店舗が特定の登録ユーザーに向けメルマガを配信する機能,店舗ユーザー,ー,ー,ー,ー,,,
11,お気に入り管理機能,ユーザーが気になる店舗をお気に入り保存する機能,ユーザー,検討,可,ー,ー,,,
12,プロモーション機能,飲食店のプロモーションや広告を表示する機能。,店舗ユーザー,検討,ー,ー,可,,,
13,問合せ機能（返信）,,ユーザー,検討,可,可,,,,